created_at,tweets_count_76ers,tweets_count_Blazers,tweets_count_Bucks,tweets_count_Bulls,tweets_count_Cavaliers,tweets_count_Celtics,tweets_count_Clippers,tweets_count_Grizzlies,tweets_count_Hawks,tweets_count_Heat,tweets_count_Hornets,tweets_count_Jazz,tweets_count_Kings,tweets_count_Knicks,tweets_count_Lakers,tweets_count_Magic,tweets_count_Mavericks,tweets_count_Nets,tweets_count_Nuggets,tweets_count_Pacers,tweets_count_Pelicans,tweets_count_Pistons,tweets_count_Raptors,tweets_count_Rockets,tweets_count_Spurs,tweets_count_Suns,tweets_count_Thunder,tweets_count_Timberwolves,tweets_count_Warriors,tweets_count_Wizards
2020-02-19,7,7,9,6,1,0,2,7,9,3,20,3,9,5,3,7,13,5,7,6,7,8,5,12,2,7,4,8,6,12
2020-02-20,9,5,11,5,13,8,12,11,11,13,16,6,10,7,2,11,12,13,14,5,12,12,6,11,10,8,4,7,11,21
2020-02-21,40,8,36,18,9,4,16,48,57,25,34,11,35,10,8,18,14,35,8,9,12,18,10,43,6,9,12,10,29,35
2020-02-22,17,30,7,3,32,33,30,34,11,32,20,33,19,24,51,23,38,6,24,41,30,12,35,5,43,16,29,26,10,41
2020-02-23,9,5,53,18,14,41,0,9,46,43,20,36,13,6,49,10,19,37,17,10,8,10,18,44,11,29,7,20,10,25
2020-02-24,11,50,9,33,13,4,1,10,6,6,9,15,4,8,28,10,7,11,28,16,65,34,31,8,25,4,30,24,29,48
2020-02-25,46,10,39,9,49,5,39,32,31,26,11,31,7,25,7,27,38,34,16,11,14,10,13,54,7,31,6,19,11,62
2020-02-26,14,35,34,27,17,32,8,16,11,5,29,15,22,11,57,9,6,11,46,48,35,25,27,6,17,8,25,13,29,30
2020-02-27,13,7,8,6,43,32,40,38,39,32,33,35,18,28,7,27,28,25,16,17,23,5,15,48,29,29,7,55,10,58
2020-02-28,33,26,17,7,8,8,4,13,15,4,12,11,16,22,35,11,24,7,22,47,18,12,11,8,6,11,31,11,27,16
2020-02-29,7,5,42,16,28,13,50,43,38,40,36,45,25,20,6,36,22,32,28,5,39,47,22,8,7,25,13,23,7,49
2020-03-01,41,30,33,6,35,32,34,54,36,43,46,3,24,22,28,18,23,28,28,35,26,18,13,60,44,19,4,26,48,15
2020-03-02,7,10,22,12,16,9,21,13,10,5,6,9,24,13,40,8,11,8,32,7,53,18,16,11,6,5,5,11,42,62
2020-03-03,9,37,26,28,36,8,7,56,27,40,17,40,13,35,5,24,18,9,24,35,14,16,5,44,39,6,6,6,12,16
2020-03-04,18,8,17,13,15,30,29,11,7,9,33,9,28,14,44,12,5,53,40,10,37,16,37,7,38,27,24,42,36,40
2020-03-05,9,37,47,18,35,30,5,57,5,47,17,44,16,24,7,29,42,27,24,21,40,32,3,8,4,5,23,36,16,36
2020-03-06,43,15,12,9,10,12,42,10,12,15,29,9,35,7,13,6,7,12,47,8,15,18,41,35,9,10,8,13,45,32
2020-03-07,5,28,37,17,14,25,8,24,32,26,31,48,5,26,54,35,32,37,12,34,53,13,5,29,13,43,30,33,9,60
